antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'fish'}),frozenset({'fruitveg'}),0.292,0.299,0.145,0.4965753424657534,1.6607870985476703,0.05769199999999999,1.3924625850340138
frozenset({'fruitveg'}),frozenset({'fish'}),0.299,0.292,0.145,0.48494983277591974,1.6607870985476705,0.05769199999999999,1.3746233766233766
frozenset({'frozenmeal'}),frozenset({'cannedveg'}),0.302,0.303,0.173,0.5728476821192052,1.8905864096343408,0.081494,1.631736434108527
frozenset({'cannedveg'}),frozenset({'frozenmeal'}),0.303,0.302,0.173,0.570957095709571,1.890586409634341,0.081494,1.626876923076923
frozenset({'beer'}),frozenset({'cannedveg'}),0.293,0.303,0.167,0.5699658703071673,1.8810754795616083,0.07822100000000001,1.6208015873015875
frozenset({'cannedveg'}),frozenset({'beer'}),0.303,0.293,0.167,0.5511551155115512,1.8810754795616083,0.07822100000000001,1.575154411764706
frozenset({'frozenmeal'}),frozenset({'cannedmeat'}),0.302,0.204,0.075,0.24834437086092714,1.2173743669653292,0.013392000000000001,1.0589955947136565
frozenset({'cannedmeat'}),frozenset({'frozenmeal'}),0.204,0.302,0.075,0.36764705882352944,1.2173743669653294,0.013392000000000001,1.103813953488372
frozenset({'beer'}),frozenset({'frozenmeal'}),0.293,0.302,0.17,0.5802047781569967,1.921207874692042,0.08151400000000002,1.6627154471544718
frozenset({'frozenmeal'}),frozenset({'beer'}),0.302,0.293,0.17,0.5629139072847683,1.9212078746920422,0.08151400000000002,1.6175303030303037
frozenset({'confectionery'}),frozenset({'wine'}),0.276,0.287,0.144,0.5217391304347825,1.8179063778215419,0.06478799999999998,1.4908181818181816
frozenset({'wine'}),frozenset({'confectionery'}),0.287,0.276,0.144,0.5017421602787456,1.817906377821542,0.06478799999999998,1.4530629370629369
"frozenset({'Unnamed: 18', 'fish'})",frozenset({'fruitveg'}),0.292,0.299,0.145,0.4965753424657534,1.6607870985476703,0.05769199999999999,1.3924625850340138
"frozenset({'Unnamed: 18', 'fruitveg'})",frozenset({'fish'}),0.299,0.292,0.145,0.48494983277591974,1.6607870985476705,0.05769199999999999,1.3746233766233766
frozenset({'fish'}),"frozenset({'Unnamed: 18', 'fruitveg'})",0.292,0.299,0.145,0.4965753424657534,1.6607870985476703,0.05769199999999999,1.3924625850340138
frozenset({'fruitveg'}),"frozenset({'Unnamed: 18', 'fish'})",0.299,0.292,0.145,0.48494983277591974,1.6607870985476705,0.05769199999999999,1.3746233766233766
"frozenset({'All_three', 'fish'})",frozenset({'fruitveg'}),0.292,0.299,0.145,0.4965753424657534,1.6607870985476703,0.05769199999999999,1.3924625850340138
